Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","29","Burundi","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","2.61","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","2.53","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","2.4","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","2.42","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","415","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","426","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","25.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","25.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","28.96","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","30.19","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","219","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","210","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","19.33","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","18.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","14.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","13.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","117","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","114","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","11.27","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","11.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","6.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","6.66","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","943","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","960","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.36","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","61.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","71.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","72.39","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","266","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","266","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","20.95","Fc","Calculated data"
